date,county,prop_omicron_cases
2022-04-09,Imperial,0.9937881782345529
2022-04-09,Inyo,0.9956426741613018
2022-04-09,Kern,0.9943675513658736
2022-04-09,Kings,0.9925119478559813
2022-04-09,Lake,0.9922875870463604
2022-04-09,Lassen,0.9954374529428855
2022-04-09,Los Angeles,0.9988476966215009
2022-04-09,Madera,0.9925730137236338
2022-04-09,Marin,0.9956097313253341
2022-04-09,Mariposa,0.9918966116311942
2022-04-09,Mendocino,0.9886307786288159
2022-04-09,Merced,0.9938419229237813
2022-04-09,Mono,0.9909470374393717
2022-04-09,Monterey,0.9947891940857061
2022-04-09,Napa,0.9945334051956252
2022-04-09,Nevada,0.9928125024410894
2022-04-09,Orange,0.9962259224485479
2022-04-09,Placer,0.9934494238651531
2022-04-09,Plumas,0.9933661038536767
2022-04-09,Riverside,0.9940254235635256
2022-04-09,Sacramento,0.9949789122766148
2022-04-09,San Benito,0.9960523609976994
2022-04-09,San Bernardino,0.9965947351168788
2022-04-09,San Diego,0.9985167087269262
2022-04-09,San Francisco,0.9944162045067074
2022-04-09,San Joaquin,0.9953072812141619
2022-04-09,San Luis Obispo,0.9956072895549755
2022-04-09,San Mateo,0.9972319604501564
2022-04-09,Santa Barbara,0.9946202707379032
2022-04-09,Santa Clara,0.9985125159560553
2022-04-09,Santa Cruz,0.9962183771678211
2022-04-09,Shasta,0.9940764682124035
2022-04-09,Sierra,0.9928518403670569
2022-04-09,Siskiyou,0.995438945154244
2022-04-09,Solano,0.9948085520442614
2022-04-09,Sonoma,0.9955421796085463
2022-04-09,Stanislaus,0.9912515050002791
2022-04-09,Sutter,0.9939157066622588
2022-04-09,Tehama,0.9898315273427367
2022-04-09,Trinity,0.9906887179706867
2022-04-09,Tulare,0.9907328505387086
2022-04-09,Tuolumne,0.9928297778243393
2022-04-09,Ventura,0.996846695842979
2022-04-09,Yolo,0.9962018086439253
2022-04-09,Yuba,0.9946207951578822
2022-04-10,Alameda,0.996587416091205
2022-04-10,Alpine,0.9944581276219989
2022-04-10,Amador,0.9918176306166467
2022-04-10,Butte,0.9970441759918279
2022-04-10,Calaveras,0.9949553060249315
2022-04-10,Colusa,0.993736458267154
2022-04-10,Contra Costa,0.9949648259472781
2022-04-10,Del Norte,0.9945511973385108
2022-04-10,El Dorado,0.9945811628179057
2022-04-10,Fresno,0.9933257583703473
2022-04-10,Glenn,0.994652065801531
2022-04-10,Humboldt,0.9947481040729249
2022-04-10,Imperial,0.994111580918861
2022-04-10,Inyo,0.9958698852569242
2022-04-10,Kern,0.9946609744964297
2022-04-10,Kings,0.9929013440754949
2022-04-10,Lake,0.9926884703477165
2022-04-10,Lassen,0.995675239397918
2022-04-10,Los Angeles,0.9989079784419771
2022-04-10,Madera,0.9929592473810808
2022-04-10,Marin,0.9958386911714924
2022-04-10,Mariposa,0.9923175287828712
2022-04-10,Mendocino,0.9892197331444369
2022-04-10,Merced,0.9941625547038802
2022-04-10,Mono,0.9914167234707881
2022-04-10,Monterey,0.9950607507781899
2022-04-10,Napa,0.994818202705992
2022-04-10,Nevada,0.9931863419518889
2022-04-10,Orange,0.9964228740863803
2022-04-10,Placer,0.9937903561881604
2022-04-10,Plumas,0.9937108126463193
2022-04-10,Riverside,0.994336559606096
2022-04-10,Sacramento,0.9952406361802499
2022-04-10,San Benito,0.9962583326141733
2022-04-10,San Bernardino,0.9967725004509281
2022-04-10,San Diego,0.9985942821652884
2022-04-10,San Francisco,0.9947070925236027
2022-04-10,San Joaquin,0.9955519631312804
2022-04-10,San Luis Obispo,0.9958363948887695
2022-04-10,San Mateo,0.9973765495313146
2022-04-10,Santa Barbara,0.9949005918955457
2022-04-10,Santa Clara,0.9985903097341492
2022-04-10,Santa Cruz,0.9964157195985531
2022-04-10,Shasta,0.9943849444412404
2022-04-10,Sierra,0.9932229411006968
2022-04-10,Siskiyou,0.9956766480528535
2022-04-10,Solano,0.9950791025221765
2022-04-10,Sonoma,0.9957746638159295
2022-04-10,Stanislaus,0.9917058969586103
2022-04-10,Sutter,0.9942324904026386
2022-04-10,Tehama,0.990358829744334
2022-04-10,Trinity,0.991171656499638
2022-04-10,Tulare,0.9912139509190471
2022-04-10,Tuolumne,0.9932027084771061
2022-04-10,Ventura,0.9970113511331627
2022-04-10,Yolo,0.9964000050639455
2022-04-10,Yuba,0.9949010420448473
2022-04-11,Alameda,0.9967655679513302
2022-04-11,Alpine,0.994746414009916
2022-04-11,Amador,0.9922427720280723
2022-04-11,Butte,0.997198549691712
2022-04-11,Calaveras,0.9952182184291556
2022-04-11,Colusa,0.9940623079067339
2022-04-11,Contra Costa,0.99522727751537
2022-04-11,Del Norte,0.9948349612406819
2022-04-11,El Dorado,0.9948634818826614
